sale_id,date,dealership,brand,model,color,price,city
1,01/01/2025,AutoCar,Toyota,Corolla,Prata,120000,São Paulo
2,2025-01-01,AutoCar,Toyota,corolla,Prata,,São Paulo
3,02/01/2025,DriveMax,Honda,Civic,Preto,130000,Campinas
4,02/01/2025,DriveMax,Honda,Civic,Preto,130000,Campinas
5,03-01-2025,FastCars,Volkswagen,T-Cross,Branco,145000,Curitiba
6,,FastCars,Volkswagen,T-Cross,Branco,145000,Curitiba
7,04/01/2025,Prime Motors,Jeep,Compass,Cinza,175000,Belo Horizonte
8,05/01/2025,AutoCar,Toyota,COROLLA,Prata,120000,sao paulo
9,2025/01/06,DriveMax,Honda,civic,Preto,130000,CAMPINAS
10,07-01-2025,FastCars,VOLKSWAGEN,T-Cross,Branco,,curitiba
